keyeng,keybn,corbang,blank
bached,বাছেদ,,
onindita,অনিন্দিতা,,
moinamoti,ময়নামতি,,
shikkhaloi,শিক্ষালয়,,
alloy,এলোয় ,,
zabed,জাবেদ,,
volunteers,ভলান্টিয়ার্স,,
ramzan,রমজান,,
taznur,তাজনুর,,
alfaz,আলফাজ,,
wahab,ওয়াহাব,,
wares,ওয়আরস   ,,
sakline, সেক্লাইন,,
garo,গারো,,
insight,ইনসাইট,,
lnb,এলএনবি ,,
hafizia,হাফিজিয়া,,
khonokhal,ক্ষণকাল,,
nikaton,নিকেতন,niketon,
sonargoan,সোনারগাঁ,,
motorcycle,মোটরসাইকেল,,
naisar,নাইসার,,
tamun,তামুন,,
shokhin,সৌখিন,,
operative,অপারেটিভ,,
perfect,পারফেক্ট,,
buhus,বাহো,baho,
mitsui,মিটসুই,,
koshba,কসবা,,
srijonshil,সৃজনশীল,,
shole,শোলে ,,
gurudwara,গুরুদুওারা,,
ziara,জিয়ারা ,,
interlink,ইন্টারলিংক,,
shawrna,স্বর্ণা,,
eligance,এলিগেন্স ,,
degrees,ডিগ্রীস,,
cleanars,  ক্লিনারর্স ,,
instruments,ইন্সট্রুমেন্টস,,
basf,বিএএসএফ ,,
hobby,  হবি,,
taskin,তাসকিন,,
farazi,ফরাজী,,
designs,ডিজাইনস,,
shovecha,শুভেচ্ছা,,
sariotpur,শরীয়তপুর,,
antara,অন্তরা,,
monpura,মনপুরা,,
halimunnesa,হালিমুন্নেসা,,
shihu,শিশু ,shishu,
hate,হেইট,,
newman,নিউম্যান,,
farazy,ফারাজি  ,,
shankar,শঙ্কর,,
billiard,বিলিয়ার্ড,,
modhirima, মোধিরিমা,,
alampana,অলিম্পিয়ান,olympian,
nakhalpara,নাখালপাড়া,,
dgb,ডিজিবি ,,
busmulkha,বাসমুলখা ,,
ratan,রতন,,
presidential,প্রেসিডেনশিয়াল,,
iccha,ইচ্ছা,,
norosundor,নরসুন্দর,,
chotuna,চতুনা,,
lotos,লোটাস,lotus,
annondomoni,আন্নন্দমনি,,
khursid,খুরশিদ,,
cristobel,ক্রিস্টোবেল ,,
nahian,নাহিয়ান,,
jonokalyan,জনকল্যাণ,,
quest,কোয়েস্ট,,
daymond,ডায়মন্ড,daimond,
shiloi,শিলই,,
granide,গ্রাণীদে,,
nagma,নাগমা,,
sapnil,সপ্নীল,,
glasses,গ্লাসেস,,
banat,বানাতে,banate,
joyep,জোয়েপ,,
patwoary,পাটোওয়ারী,,
anada,আনন্দ,anondo,
rupayun,রুপায়ুন,,
determind,ডিটারমাইন্ড,,
salahuddin,সালাহউদ্দিন,,
wordlwide,ওয়ার্ল্ডওয়াইড ,,
society,সোসাইটি,,
books,বুকস,,
mohamaadia, মোহাম্মাদিয়া  ,,
propeetis, প্রপারটিস  ,properties,
agriculture,এগ্রিকালচার,,
badol,বাদল,,
badon,বাদন,,
mokaddis,মোকাদ্দিস,,
sahera,সাহেরা,,
matrix,ম্যাট্রিক্স,,
reload,রিলোড,,
unkabut,উনকাবুত,,
boutique, বুটীক,,
apperals,এপারেলস ,,
honng,হংঙ,,
asmo,অসম,oshom,
dania, ডানিয়া,,
abedujjaman,আবেদুজ্জামান,,
walide,   ওয়ালিদ ,walid,
krisi,কৃষি,,
matrie,মাতৃয়ে,,
ihrc,ইয়র্ক,york,
adaptive,এডাপ্টিভ,,
abidatun,আবিদাতুন,,
mokaddim,মোকাদ্দিম,,
stare,স্টেয়ার,,
muntaha,মুনতাহা,,
shur,সুর,,
shiha,শিহা  ,,
savenue,    রেভেনিউ ,revenue,
baigertek,বাইজারটেক,bajartekl,
labornno,লাবন্ন,labonno,
katlina,কাটলিনা,,
gawsiya,গাউসিয়া,,
tempo,টেম্পো,,
premik,প্রেমিক,,
shelai,সেলাই,,
release,রিলিজ,,
sromojibi,শ্রমজীবী,,
empaire,এম্পায়ার  ,empayar,
dprc,ডিপিআরসি  ,,
aoulad,আওলাদ,,
jardinville,জার্ডিনভিলে,,
plaja,প্লাজা,,
munshibari,মুন্সিবাড়ি,,
bohumikhi,বহুমুখী,,
safannan,সাফান্নান,,
defining,ডিফাইনিং,,
tiranagar, ট্রাইএঙ্গেল ,triangle,
chilli,চিল্লি,,
mainland,মেইনল্যান্ড,,
premio,প্রিমিও,,
nirjash,নির্যাস,,
amitgos,অমিতগোস ,,
area,এরিয়া,,
manwara,ম্যানওয়ারা ,,
david,ডেভিড,,
linnex,লিনাক্স,linux,
photographics,ফোটোগ্রাফিক্স,,
serenity,সেরেনিটি,,
shoiliy,শৈলীর,shoilyr,
khadda,খাদ্দা,,
easkaton,ইস্কাটন,,
rochita, রচিতা ,,
barnali,বর্ণালী,,
pyber, পাইবার ,,
anita,অনিতা,,
dicent,ডিসেন্ট,decent,
sahana,সাহানা,,
khana,খানা,,
idfc,আইডিএফসি  ,,
saheda,সাহেদা,,
sharitpur,সারিতপুর,,
utsha,উৎস,utsho,
manoshik,মানসিক,,
khani,খানি,,
rushmono,রুষ্মণ,rokkhon,
rupaki,রুপালি,rupali,
muhammad,মুহাম্মদ,,
endora,এন্ডোরা,,
methela,মিথিলা,mithila,
charulota,চারুলতা,,
koncriet,কনক্রিট ,concrete,
broilers,ব্রয়লারস ,,
chaadni,চাঁদনী,,
idrees,ইদ্রীস,,
ummin,উম্মিন,,
qubee, কিউবি ,,
amatunnesa,আমাতুন্নেসা,,
ealt,এলট ,alot,
satmasjid,সাতমসজিদ,,
festival,ফেস্টিভাল,,
sharof,শারোফ,,
bhuaian, ভুঁইয়া  ,,
tasim,তাসিম,,
system,সিস্টেম,,
hamd,হ্যান্ড ,hand,
mitaly,মিতালী,,
chondropara,চন্দ্রপাড়া,,
zarin,জারিন,,
nibnir,নিবনির,,
obat,অবাক,obak,
maliati,মালিয়াতি,,
jasimuddin,জসিমুদ্দিন,,
bikkrompur,বিক্ক্রমপুর,,
zarif,জারিফ,,
multistar,  মালটিস্টার,,
chanaullah,ছানাউল্লাহ,,
dholay,ঢোলে ,,
lot,লট ,,
chokaria,চকরিয়া,,
reziya,রেজিয়া,,
askot, আস্কওটি ,,
pesker,পেসকার ,,
delwoar,দেলোওয়ার,,
razzak,রাজ্জাক,,
kota,কোটা,,
carmo,কারমো ,,
rickshaw,রিকশা,,
faiz,ফাইজ,,
vawol,ভাওল ,,
valencia,ভ্যালেন্সিয়া,,
elita,এলিটা,,
porma,পরমা  ,,
confectioney,কনফেকশনারি ,confectionery,
rihomot,রহমত ,rohomot,
elite,এলিট,,
haven,হ্যাভেন,heaven,
chone,চনে,,
paban,পাবেন,,
steel,স্টিল,,
rayban,  রেবেন ,,
bodrul,বদরুল,,
haowam,হাওয়াম,,
dhanush,ধানুশ,,
sodon, সোদন ,,
manpower, ম্যানপাওয়ার,,
hawlader,হাওলাদার,,
khajana, খাজানা,,
majibor,মজিবর,mojibor,
sourcing,সোরসিং,,
preta,প্রেত,preet,
steet,  স্ট্রিট,street,
condona,  চন্দনা ,chondona,
amble,অম্বলে,ombole,
daicin,ডাইসিন,,
ingenious,   ইনজিনিয়াস,,
charuta,চারুতা,,
sufin,সুফিন,,
tarrace,টেরেস ,,
mobon,মবন,,
sufia,সুফিয়া,,
uronto,উড়ন্ত,,
sundorpur,সুন্দরপুর,shundorpur,
shouhardo,সৌহার্দ,,
gentle,জেন্টল,,
anawara,আনোয়ারা,,
nidraloy,নিদ্রালোয়,,
muin,মুঈন,,
loxmipur,লক্সমীপুর,,
richman,রিচম্যান,,
nayabazar,নয়াবাজার,,
sondha,সন্ধ্যা,,
sukh,সুখ,,
atib,অতীব,,
documents,ডকুমেন্টস,,
imaner,ঈমানের,,
sokrana,শোকরানা,,
atif,আতিফ,,
sayra,সেরা,shera,
taosif,তাওসিফ,,
soad,সোয়াদ,soyad,
confactonary,কনফেকশনারি,,
atik,আতিক,,
mills,মিলস,,
chitrayon,চিত্রায়ন,,
mohommad,মোহাম্মদ,,
mofijul,মফিজুল,,
sohela,সোহেল,sohel,
atiq,আতিক ,,
ashora,  আসোরা ,,
proshashoker,প্রশাসকের,,
ashore,আসরে,,
sandle,স্যান্ডেল,,
alumminium,আলুমমিনিউম,,
linda,লিন্ডা,,
korean,কোরিয়ান,,
lily,লিলি,,
soap,সোপ,,
pordha,পর্দা,porda,
kulsum,কুলসুম,,
worldwide,ওয়ার্ল্ডওয়াইড,,
nurbagh,নুরবাগ,,
nazmun,নাজমুন,,
hotay,হতে,hotey,
manor,জমিদারি,jomidari,
voyage,  ভয়াজ,,
dhalibari,ঢালিবাড়ি,,
terij,টেরিজ,,
claremont,  ক্লেয়ারমণ্ট ,,
kisholoy,কিশলয়,,
nilanjana,নীলাঞ্জনা,,
tomasroy,তমাশ্রয়,,
yeakin,ইয়াকিন,,
ronzit,রণজিৎ,,
visa,ভিসা,,
jul,জুল,,
riafat,রিয়াফাত,,
device,ডিভাইস,,
manon,মনোন,monon,
natuwar,নাটুয়ার,,
romaina,    রোমাইনা ,,
mozibur,মজিবুর,,
goudhuli,গৌধুলী,,
shagotam,স্বাগতম,,
shornomoy,স্বর্ণময়,,
kishoirganj,কিশোরীগঞ্জ,,
quaters,কোয়াটার্স,,
tuktak,টুকটাক,,
face,ফেস,,
kudrot,কুদরত,,
veneziana,ভেনেজিয়ানা,,
proshantee,প্রশান্তি,,
veneziane,ভেনেজিয়ানে,,
mechanical,মেকানিকাল,,
waliul,ওয়ালিউল,,
singair,সিঙ্গাইর,,
everything,এভরিথিং,,
bumpar,বাম্পার,,
shiddheswari,সিদ্ধেশ্বরী,,
dorado,ডোরাডো,,
foizur,ফয়জুর,foyzur,
nazmus,নাজমুস,,
elctronic,ইলেক্ট্রনিক,electronic,
siddek,সিদ্দেক,,
tammanna,তাম্মাননা,,
faijuddin,ফাইজুদ্দিন,,
maksu,মাকসু,,
commila,কুমিল্লা ,cumilla,
konkanjoli,কোনকাঞ্জলি,,
rubayet,রুবায়েত,,
steeltech,স্টিলটেক,,
jalok,জলক,,
zuvo,জুভো ,,
principal,প্রিন্সিপাল,,
desdimona,ডেসডিমোনা,,
anowarul,আনোয়ারুল,,
bichitra, বিচিত্রা ,,
noir,নইর  ,,
arnaaz,আর্নাজ,,
bisti,বৃষ্টি,bristi,
shuvessa,শুভেচ্ছা,shubeccha,
jabed,জাবেদ,,
jat,জাট,,
jar,যার,,
sameya,সামিয়া,,
terminal,টার্মিনাল,,
alite,এলিট ,elite,
jal,জাল,,
jam,জ্যাম,,
toji,তজি,,
prottyasha,প্রত্যাশা,prottasha,
bisty, বৃষ্টি ,bristy,
printers,প্রিন্টার্স,,
jaf,জাফ,,
toruni,তরুণী,,
chinese,চাইনিস,,
noim,নঈম,,
toja,তোজা,,
hope,হোপ,,
jaber,জাবের,,
bondu,বন্দু,,
somobai,সমবায়,,
babaar,বাবার,,
lucky,লাকি,,
soikat,সৈকত,,
fahmida,ফাহমিদা,,
exchanger,এক্সচেঞ্জার,,
ira,ইরা,,
anando,আনন্দ,,
bondh,বন্ধ,bondho,
mehrab,মেহরাব,,
nisi,নিসি,,
jhar,ঝড়,jhor,
prottasha,প্রত্যাশা,,
lale,লালে,,
harij,হারিজ,,
nisa,নিসা,,
regalo,রেগালো,,
glasgow,গ্লাসগো,,
haris,হারিস,,
ohid,ওহিদ,,
rajeda,রাজেদা,,
dallas,ডালাস,,
lalu,লালু,,
hamiada,হামিদ,,
shomrst,সম্রাট ,shomrat,
rubyrose,রুবিরোস ,,
hosen,হোসেন,hossen,
nisu,নিশু,nishu,
btv,বিটিভি,,
amirun,আমিরুন,,
jafrin,জাফরিন,,
bucket,বাকেট,,
frame,ফ্রেম,,
configuree,কনফিগার,configure,
muktar,মুক্তার,,
lolona,ললনা,,
makers, মেকারস,,
zorna, যরনা ,,
atiqul,আতিকুল,,
shonda,সন্ধ্যা  ,shondha,
mebin,মবিন,mobin,
majlish,মজলিশ,,
bti,বিটিআই,,
textiles,টেক্সটাইলস,,
nojibur,নজিবুর,,
ujjoini,উজ্জয়নি ,,
reshmi,রেশমি,,
sanzida,সানজিদা,,
destiny,ডেস্টিনি,,
rupsha,রূপসা,,
nuclear,নিউক্লিয়ার,,
reshma,রেশমা,,
pannima,পান্নিমা,,
prithiber,পৃথিবীর,prithibir,
reshme,রেশমি,reshmi,
rupshi,রূপসী,,
azar,বাজার,bazar,
redcrescent,রেডক্রিসেন্ট,,
shaikot,সাইকোট,,
mehejabin,মেহেজাবিন,,
shotonuj,শতনুজ,,
mannasaluya,মাননাসলুয়া,,
piston,পিস্টন,,
bnb, বিএনবি,,
mehoman,মেহমান,,
adiap,আদিম,adim,
taskir,টাস্কির,,
ghorjahan,ঘোড়জাহান,,
housw,হাউস,house,
magha,    মেঘা ,megha ,
projapoti,প্রজাপতি,,
faime,  ফ্রেম,frame,
joltora,জলতোড়া,,
hajj,হজ,,
haji,হাজি,,
bilal,বিলাল,,
bilas,বিলাস,,
nuruzzaman,নুরুজ্জামান,,
aureola,অরেওলা,,
afridi,আফ্রিদি,,
hobitun,ছবিতুন,chobitun,
abashon,আবাসন,,
afride,আফ্রিদি,afridi,
jaitun,জাইতুন  ,,
nidrabon,নিদ্রাবন,,
endo, এনডো ,,
duy,দুই,dui,
ets,ইটিএস ,,
norshingdi,নরসিংদী,,
drum,ড্রাম,,
etu,এটা,eta,
kachukhet,কচুখেত,,
decay, ডিকে  ,,
chhaya,ছায়া,chaya,
nilloy,নিলয়,,
drug,ড্রাগ,,
rams,রেমস ,,
marti,মার্তি,,
tehari,তেহারি,,
hurmoti,হুরমতি,,
rami,রামি,,
khondaker, খন্দকার,,
mizan,মিজান,,
shashi,শশী,,
eti,  ইটিআই ,,
chandona,চান্দনা,,
rama,   রামা ,,
anti,এনটি ,,
rajeya,রাজিয়া,,
fazaane,ফাজানে,,
authorised,অথোরাইসড,,
saof,সোফা,sofa,
chikitshalay,চিকিৎসালয়,chikitshaloy,
nirman,নির্মাণ,,
siddiks,সিদ্দিকস,,
tsc, টিএসসি ,,
nironjon,নিরঞ্জন,,
mohamad,মোহাম্মদ,,
crezal,ক্রেজাল,,
ucc, ইউসিসি ,,
ucb,  ইউসিবি ,,
siddiki,সিদ্দিকী,,
whispering,  হুইসপারিং  ,,
chotpati,চটপটি,chotpoti,
shirajul,সিরাজুল,,
sikim,সিকিম,,
charupath,চারুপাঠ,,
siddika,সিদ্দিকা,,
shamsuul,শামসুউল,,
raba,রাবা     ,,
sanao,সানাও,,
sadharan,সাধারণ,shadharon,
oxlip,অক্সলিপ,,
midland,মিডল্যান্ড,,
unesa,    ইউনেসা  ,,
silvia,সিলভিয়া,,
odc,ওডিসি,,
soyeda,সোয়েডা,,
firoz,ফিরোজ,,
borkot,বরকত,,
taste,টেইস্ট,,
genetic,জেনেটিক,,
rabb,রাব্বি,rabbi,
vivant,বিভান্ত,vivanto,
feather,ফেদার,,
firoj,ফিরোজ,,
sayma,সায়মা,,
antar,অন্তর,ontor,
selina,সেলিনা,,
melamine,মেলামাইন,,
monohari,মনোহারি,,
bashiruddin,বশিরউদ্দিন,,
somsi,সমস্যা,shomossha,
banijjoly,বাণিজ্যলয়,,
adom,আদম,,
mohana,মোহনা ,mohona,
steeltec,স্টিল টেক   ,,
punam,পুনাম,,
bassar,বাসার,bahsar,
bagnan,বাগনান,,
jhingeful,ঝিঙেফুল,,
luch,লুচি,luchi,
graphics,গ্রাফিক্স,,
ador,আদর,,
moazzam,মোয়াজ্জাম,,
atlanta,আটলান্টা,,
usroy,আশ্রয়,asroy,
pragati,প্রগতি,progoti,
avonee,অবনী,abonee,
deen,দ্বীন,,
sangshar,সংসার,songshar,
laser,লেসার,,
tanzina,তানজিনা,,
gabtoli,গাবতলী,,
anmun,নমুনা,nomuna,
rahimafrooz, রহিমআফরোজ,,
rongon,রঙ্গন,,
gabtola,গাবতলা,,
rbn,আরবিএন ,,
mojar,মজার,,
emdad,এমদাদ,,
firuzzaman,ফিরুজ্জামান,,
mahmuda,মাহমুদা,,
burhani,বোরহানি,borhani,
sanahor,সানাহর,,
cvd, সিভিডি ,,
ultra,আলট্রা,,
purbasa,পূর্বাশা,,
salek,সালেক,,
capta,চ্যাপ্টা,chepta,
naowar,নাওয়ার ,,
ripa,রিপা,,
nilaronno,নীলারন্ন,,
omni,অমনি,,
manisha,মানিশা,,
delowara,দেলোয়ারা ,,
lush,লাশ,lash,
site,সাইট,,
hardware,হার্ডওয়্যার,,
ushar,ঊষার,,
joyshor,জয়শর,,
manshura,মানসুরা,,
ripu,রিপু,,
senho,সিনহা,sinha,
anuka,আনুক,,
dorbesh,দরবেশ,,
prita,প্রীতা,,
adorso,আদর্শ,,
situ,সিটু,,
istiak,ইসতিয়াক,,
tattoo,ট্যাটু ,,
kuteer,কুটির,,
ownima,ওনিমা ,,
lokhnath,লোকনাথ,,
jual,জুয়েল,juel,
noyanagar,নয়ানগর,,
soptoborno,সপ্তবর্ণ,,
kash,ক্যাশ,cash,
safron,স্যাফ্রন,,
romance,রোমাঞ্চ ,,
dilwar,দিলওয়ার,,
tahin,তাহীন,,
tahia,তাহিয়া,,
falak,ফালাক,,
pirer,পীরের,,
oparajita,অপরাজিতা,,
rashayan,রসায়ন,roshayon,
ball,বল,,
infinity,ইনফিনিটি,,
raymond,রেমন্ড,,
bali,বালি,,
domicillo,ডমিসিল্ল ,,
hriday,হৃদয়,hridoy,
sadi,সাদি,,
putuakhali,পুটুয়াখালী,,
ansar,আনসার,,
bala,বলা,bola,
radda,রাড্ডা,,
delicia,ডেলিসিয়া,,
niketin,নিকোটিন,nicotine,
sujodoy,সূর্যোদয় ,shurjodoy,
sadu,সাদু,,
asraf,আশরাফ,ashraf,
asrag,আস্রাগ,,
dayal,ডায়াল,,
rupli,রুপালি,,
afghan,আফগান,,
broccoli,ব্রোকলি,,
mosaic,মোসাইক,,
audit,অডিট,,
kisu,কিছু ,,
hrindan,ঋণদান,,
off,অফ,,
gojnobi,গজনবী,,
mention,মেনশন,,
colour,কালার,,
sweetmeat,  সুইটমিট ,,
nabadhara,নবধারা,nobodhara,
shawomin,সাবমিন,submin,
dinar,দিনার,,
paddo,পদ্দ,poddo,
chorntoni,চরণটোনি ,chorontoni,
gawsia,গাউসিয়া,,
audio,অডিও,,
baru,বারু,,
sadma,সাদমা,,
tahmim,তাহমিমা,tahmima,
sangstha,সংস্থা,,
samit,সামিত  ,,
samir,সামীর,,
less,লেস,,
zaman,জামান,,
tahmid,তাহমিদ,,
zamal,জামাল,,
adit,এডিট,audit,
fiamanilallah,ফিআমানিলাল্লাহ,,
rekho,রেখো,,
shahjalal,শাহজালাল,,
roze,রোজ,,
momento,মোমেনটো ,,
sanora,সানোরা  ,,
samia,সামিয়া,,
dipok,দীপক,,
samin,সামিন,,
samim,শামীম,,
samil,সামিল,,
rekha,রেখা,,
otithi,অতিথি,,
shonchita,সঞ্চিতা,,
web,ওয়েব,,
nilam,নিলাম,,
icche,ইচ্ছে,,
binimoy,বিনিময়,,
shamama,শামামা,,
fulkuri,ফুলকুঁড়ি,,
manash,মানুষ,manush,
itkhola,ইটখোলা,,
rukmini, রুকমিনি ,,
suraiya,সুরাইয়া,,
microse,মাইক্রোস ,,
tares,তারেক,tareq,
obayedur,ওবায়েদুর,,
combind,কম্বাইন্ড,combined,
binimoi,বিনিময়,binimoy,
karukaj,কারুকাজ,,
moharram,মুহাররাম,,
monaf,মোনাফ,,
kebria,কিবরিয়া,,
alishaan,আলিশান,,
government,গভর্নমেন্ট,,
modinabagh,মদীনাবাগ,,
mashrafi,মাশরাফি,,
najir,নাজির,,
bhanghari,ভ্যানগাড়ি,,
hadid,হাদীদ,,
fuji,ফুজি,,
five,ফাইভ,,
shiompuna,শৈম্পুন,shoimpun,
shahajan,শাহাজান,,
juie,জুয়া,jua,
jajabor,যাযাবর,,
domoniva,ডোমনিভা,,
amela,আমেলা,,
isub,আইসাব  ,,
shammi,শাম্মি,,
mohammedia,মোহাম্মদীয়া,,
jomadder,জমাদদের,,
ziban,জীবন,zibon,
lamesa,লামিসা,,
zohirul,জাহিরুল,,
suniketon,সুনিকেতন,,
mhb,  এমএইচবি ,,
garage,গ্যারেজ,,
norsindi,নরসিংদী,,
ynuse,ইয়উনুস ,yunus,
dabanol,দাবানল,,
mht, এমএইচটি ,,
akaba,আকাবা,,
muri,মুড়ি,,
robiul,রবিউল,,
hajrat,  হযরত ,hozrot,
medinova,মেডিনোভা,,
nayantara,নয়নতারা,,
polar,পোলার,,
moymoon,ময়মূন,,
kasheme,কাশেম,kashem,
raiyaan,রাইয়ান,,
najat,নাজাত,,
moha,মহা,,
mohasina,মোহসিনা,mohsina,
moryam,মরইয়াম ,,
mushfika,মুশফিক,mushfiq,
ronin,রঙিন,rongin,
moho,মোহো,,
mohi,মহি,,
transport,ট্রান্সপোর্ট,,
takwaya,তাকওয়া,takwoa,
jojo,জোজো ,,
asadulla,আসাদুল্লা,,
mowlabi,মৌলবী,mowlobi,
onaesh,অনায়েশ ,,
agomon,আগমন,,
mazharul,মাজহারুল,,
anuvob,অনুভব,onuvob,
biddut,বিদ্যুৎ,,
doel,দোয়েল,doyel,
oushod,ঔষধ,,
fedex,ফেডেক্স,,
dagu,দাগ,daag,
aorpa,অরপা ,,
passion,প্যাশন,,
burgerology, বার্গারলজি ,,
karima,কারিমা ,,
bodorpur,বদরপুর,,
karimm,করিম,karim,
councilor,কাউন্সিলর,counsellor,
xinxian,জিনজিয়ান ,,
lipon,লিপন,,
biology,বায়োলজি,,
belal,বেলাল,,
rofik,রফিক,,
rofij,রফিজ,,
ashabash,আশ্বাস,assash,
dipjol,ডিপজল,,
sohim,সহিম,,
memberbari,মেম্বারবাড়ি,,
monjuri,   মোনজুরি ,,
aito,এইতো,,
nafi,নাফি,,
nadda,নর্দা,norda,
trirotna,ত্রিরত্ন,,
rofiq,রফিক,,
tabashsum,তাবাস্সুম,tabassum,
polac,   পোলাক ,,
sister,সিস্টার,,
onneson,অন্নেষণ,,
lifestyle,লাইফস্টাইল,,
noyatola,নয়াটোলা,,
sekriti,সিকৃতি,shikriti,
madhobilota,মাধবীলতা,,
meraz,মেরাজ,,
krs,কেআরএস,,
abadi,আবাদি,,
nayeema,নায়ীমা,,
holdings,হোল্ডিংস,,
dighol,দীঘল,,
meraj,মেরাজ,,
shupti,সুপ্তি,,
rustum,রুস্তুম,,
irin,  আইরিন,,
swimming,সুইমিং,,
burma, বার্মা   ,,
mery,মেরি,,
modhubon,মধুবন,,
alliance,আলিয়ান্স ,,
tanzim,তানজিম,,
marium,মারিয়াম,,
sharabela,সারাবেলা,,
qulaity,কোয়ালিটি ,quality,
astici,   এসথেটিক,aesthetic,
meru,মেরু,,
khazana,খাজনা,,
rochok,রোচক,,
meri,মেরি,,
ismailj,ইসমাইলজ,,
zeals,  যিলস,,
camden,ক্যামডেন,,
starscape,স্টারস্কেপ,,
sapno, স্বপ্ন,shopno,
prosun,প্রসূন,,
ridgewood,রিযউড ,,
miasha,মাইশা   ,,
ghonda,ঘন্ডা,,
shongram,সংগ্রাম,,
rasulbag,রসুলবাগ,,
polao,পোলাও,,
housing,হাউজিং,,
mainuddin,মাইনুদ্দিন,,
nazed,নাজিদ,,
poritran,পরিত্রান,,
esamoti,ইসামতি,,
shwapnoloi, স্বপ্নলয়   ,,
saodi,সাউদি,,
kuhukunjo,কুহুকুঞ্জ,,
sandel,স্যান্ডেল,,
mijabe,মিজাবে,,
kingshuk,কিংশুক,,
tushin,তুসিন,,
cosmopolitan,কসমোপলিশিয়ান ,,
muntafi,মুন্তাফি,,
shrofat,শরাফত,,
togor,টগর ,,
dulhan,দুলহান,,
jajorony,   জাজোরনি ,,
tahfizul,তাহফিজুল,,
arhona, আরহনা ,,
delivery,ডেলিভারি,,
mayeen,মায়ীন,,
shemu,শিমু,,
kalpo,কল্প,kolpo,
apollo,অ্যাপোলো,,
fry, ফ্রাই  ,,
gorai,গোরাই   ,,
megha, মেঘা ,,
poshchima,পশ্চিমা ,poshchima ,
modhurima,মধুরিমা,,
baptist,ব্যাপটিস্ট,,
mijanur,মিজানুর,,
tasnemul,তাসনিমুল,tahsimul,
places,প্লেসেস,,
karnaphuli,কর্ণফুলী,,
shonirvor,স্বনির্ভর,shornivor,
volvo,ভলভো,,
gowher, গোহয়ার ,gowhere,
khobi,খবি,,
torikul,তরিকুল,,
turjo,তুর্জ,,
distribution,ডিস্ট্রিবিউশন,,
arbit,অরবিট,orbit,
nourin,  নউরিন ,,
cordial,করডীয়াল ,,
irish,আইরিশ,,
mortuja,মর্তুজা,,
int,আইএনটি ,,
dhabanal,দাবানল,,
kingston,কিংস্টন,,
chawnai,চাওনাই ,,
arkid,অর্কিড,orchid,
tejgao,তেজগাঁও,,
inn,আইএনএন ,,
patoary,পাটোয়ারী,,
ink,ইন্ক্,,
ind,আইএনডী ,,
areeb,আরীব,,
rajvog,রাজভোগ,,
emran,এমরান,,
rosni,রশ্নি,,
shyam,সাইএম ,,
rashib,  রাশিব ,,
busckt,বাস্কেট ,basket,
sharin,সারিন,,
tohin,তুহিন,tuhin,
rezaul,রেজাউল,,
sharif,শরীফ,,
coffeelicious,কোফিলিসিয়াস,,
rezaur,রেজাউর,,
khadok,খাদক,,
zico,জিকো,,
sabibur,সাবিবুর,,
mishu,মিশু,,
shamia,সামিয়া,,
ashisis, আসসিস ,,
parimoni,পরীমনি,,
decipal, ডেছিপাল ,,
veiw,ভিউ,,
mehediganj,মেহেদীগঞ্জ,,
dolphine,ডলফিন,,
dipanita,দিপানিতা  ,,
bhola,ভোলা,,
rajiya,রাজিয়া,,
chantury, সেঞ্চুরি ,centuty,
mondal,মন্ডল,mondol,
kuakata,কুয়াকাটা,,
jaya,জায়া ,,
niket,নিকট,nikot,
scintillate, সাইনটিলেট ,,
chui,ছুঁই,,
veil,ভেইল,,
tahfijul,তাহফিজুল,,
naydal,নেডাল ,,
ghost,গোস্ট,,
jisan,জিসান,,
ummocon,উম্মকং,,
mofiz,মফিজ,,
mindri,মিন্দ্রি,,
miftahul,মিফতাহুল,,
labina,লাবিনা,,
sopna, সপ্না ,,
eddies,এডীস ,,
coachnig, কোচিং ,,
ruly,রুলী,,
patoari,পাটোয়ারী,,
jsnk,যেএসএনকে,,
tmc,  টিএমসি ,,
mofij,মফিজ,,
amitas,অমিতাস,,
mofid,মফিড,,
trims,ত্রিমস,,
abtahis,আবটাহিস,,
ghosh,ঘোষ,,
gardens,গার্ডেন্স,,
hridoy,হৃদয়,,
motaleb,মোতালেব,,
roisy,রইসি  ,,
pratabghar,প্রতাবঘর,protabghor,
khalil,খলিল,,
womans,ওমেন্স,,
ciam,সিয়াম,siam,
stocklot,স্টকলট ,,
bapi,ব্যাপী,,
khalid,খালিদ,,
shaymolima,শ্যামলিমা,,
nursery,নার্সারী,,
biddyapit,বিদ্দ্যাপীট,,
mansion,ম্যানসন,,
saroadar,সারাদের,,
markaz,মারকাজ,,
taowhid,তাওওহীদ,,
lija,লিজা,,
porno,পর্ণ,,
sogo,সোগো,,
salema,সালেমা,,
monoara,মনোয়ারা,,
rihin,বিহীন,bihin,
onnorokom,অন্যরকম,,
noroshundor,নরসুন্দর,,
mofidul,মফিদুল,,
bonanto,বনান্ত,,
blogna,ব্লগনা,,
jonoprio,জনপ্রিয়,,
bike,বাইক ,,
mahtadi,মাহতাদি,,
bibek,বিবেক,,
duoa,দোয়া,doa,
regal,রিগাল,,
ren,রেন,,
sped,স্পিড,speed,
ergo,আরগো,,
worth,ওরথ ,,
haowlader,হাওলাদার,,
biki,বিকি,,
manir,মনির,monir,
najnul,নাজমুল,najmul,
sorobor,সরোবর,,
pantha,পন্থা,pontha,
noakhali,নোয়াখালী,,
aysa,আয়শা,,
afrooz,আফরোজ,,
pantho,পান্থ,,
kuasha,কুয়াশা,,
